NamedEntity,Descriptive,Sentiment
Trump,legal,Positive
Trump,most,Positive
Trump,senior,Positive
Trump,key,Positive
Trump,longtime,Positive
Trump,last,Negative
Trump,missed,Negative
Trump,unimportant,Positive
Trump,understandable,Neutral
Trump,trivial,Negative
Trump,discriminatory,Positive
Trump,political,Positive
Trump,immigrant,Negative
Trump,senior,Positive
Trump,convenient,Positive
Trump,casual,Neutral
Trump,conclusive,Positive
Trump,central,Positive
Trump,partisan,Neutral
Trump,political,Positive
Trump,detailed,Positive
Trump,detailed,Positive
Trump,big,Positive
Trump,most,Positive
Trump,political,Positive
Trump,future,Positive
Trump,political,Positive
Trump,last,Negative
Trump,last,Negative
Trump,notable,Positive
Trump,past,Positive
Trump,legal,Positive
Trump,top,Positive
Trump,direct,Neutral
Trump,further,Positive
Trump,formal,Neutral
Trump,past,Positive
Trump,closer,Positive
Trump,high,Positive
Trump,undocumented,Negative
Trump,last,Negative
Trump,best,Positive
Trump,full,Positive
Trump,unsuccessful,Negative
Trump,undocumented,Negative
Trump,high,Positive
Trump,certain,Positive
Trump,criminal,Negative
Trump,same,Positive
Trump,independent,Positive
Trump,more,Positive
Trump,public,Neutral
Trump,highest,Positive
Trump,private,Positive
Trump,white,Positive
Trump,white,Positive
Trump,independent,Positive
Trump,credible,Positive
Trump,enough,Positive
Trump,free,Positive
Trump,public,Neutral
Trump,proper,Positive
Trump,excellent,Positive
Trump,next,Positive
Trump,public,Neutral
Trump,next,Positive
Trump,next,Positive
Trump,beneficial,Positive
Trump,political,Positive
Trump,congressional,Neutral
Trump,public,Neutral
Trump,final,Positive
Trump,entire,Positive
Trump,deep,Positive
Trump,unfair,Positive
Trump,public,Neutral
Trump,constitutional,Positive
Trump,impeachable,Neutral
Trump,late,Positive
Trump,unconstitutional,Negative
Trump,top,Positive
Trump,full,Positive
Trump,unlikely,Positive
Trump,recent,Positive
Trump,TRUE,Positive
Trump,first,Positive
Trump,last,Negative
Trump,special,Positive
Trump,next,Positive
Trump,prime,Positive
Trump,own,Positive
Trump,unpredictable,Negative
Trump,senior,Positive
Trump,unusual,Positive
Trump,able,Positive
Trump,big,Positive
Trump,last,Negative
Trump,next,Positive
Trump,working,Positive
Trump,prime,Positive
Trump,good,Positive
Trump,new,Positive
Trump,last,Negative
Trump,most,Positive
Trump,ardent,Positive
Trump,few,Negative
Trump,open,Positive
Trump,better,Positive
Trump,former,Negative
Trump,last,Negative
Trump,vocal,Positive
Trump,worst,Negative
Trump,biggest,Positive
Trump,pleased,Positive
Trump,wary,Positive
Trump,powerful,Positive
Trump,many,Positive
Trump,former,Negative
Trump,open,Positive
Trump,conservative,Positive
Trump,next,Positive
Trump,measured,Neutral
Trump,right,Positive
Trump,accountable,Positive
Trump,available,Negative
Trump,last,Negative
Trump,familiar,Positive
Trump,private,Positive
Trump,necessary,Positive
Trump,conservative,Positive
Trump,reluctant,Positive
Trump,different,Positive
Trump,recent,Positive
Trump,sure,Positive
Trump,own,Positive
Trump,close,Positive
Trump,unapologetic,Positive
Trump,farcical,Negative
Trump,most,Positive
Trump,honored,Positive
Trump,chief,Positive
Trump,last,Negative
Trump,most,Positive
Trump,ardent,Positive
Trump,full,Positive
Trump,former,Negative
Trump,dynamic,Positive
Trump,naughty,Negative
Trump,big,Positive
Trump,significant,Positive
Trump,new,Positive
Trump,little,Positive
Trump,much,Positive
Trump,same,Positive
Trump,best,Positive
Trump,surprised,Negative
Trump,recent,Positive
Trump,original,Positive
Trump,same,Positive
Trump,unclear,Negative
Trump,able,Positive
Trump,less,Negative
Trump,welcome,Positive
Trump,vulnerable,Negative
Trump,large,Positive
Trump,questionable,Negative
Trump,similar,Positive
Trump,current,Positive
Trump,direct,Neutral
Trump,political,Positive
Trump,alive,Positive
Trump,military,Positive
Trump,able,Positive
Trump,comprehensive,Positive
Trump,difficult,Positive
Trump,tangible,Positive
Trump,apparent,Neutral
Trump,own,Positive
Trump,formal,Neutral
Trump,former,Negative
Trump,same,Positive
Trump,adorable,Positive
Trump,current,Positive
Trump,former,Negative
Trump,dreary,Negative
Trump,unknown,Negative
Trump,treasonous,Negative
Trump,possible,Positive
Trump,civil,Neutral
Trump,extra,Positive
Trump,troubling,Positive
Trump,steady,Positive
Trump,last,Negative
Trump,likely,Positive
Trump,own,Positive
Trump,central,Positive
Trump,few,Negative
Trump,top,Positive
Trump,disrespect,Negative
Trump,top,Positive
Trump,fresh,Positive
Trump,undermining,Neutral
Trump,good,Positive
Trump,bad,Positive
Trump,many,Positive
Trump,own,Positive
Sanders,old,Positive
Sanders,first,Positive
Sanders,primary,Positive
Sanders,tiny,Negative
Sanders,electable,Neutral
Sanders,brokered,Neutral
Sanders,individual,Neutral
Sanders,heterogenous,Neutral
Sanders,many,Positive
Sanders,more,Positive
Sanders,white,Positive
Sanders,reasonable,Positive
Sanders,many,Positive
Sanders,interesting,Positive
Sanders,liberal,Positive
Sanders,older,Positive
Sanders,young,Positive
Sanders,interesting,Positive
Sanders,moderate,Positive
Sanders,young,Positive
Sanders,different,Positive
Sanders,crucial,Positive
Sanders,worse,Positive
Sanders,fellow,Positive
Sanders,same,Positive
Sanders,obvious,Positive
Sanders,ultimate,Positive
Sanders,decent,Positive
Sanders,different,Positive
Sanders,centrist,Neutral
Sanders,fellow,Positive
Sanders,new,Positive
Sanders,liberal,Positive
Sanders,moderate,Positive
Sanders,conservative,Positive
Sanders,attractive,Positive
Sanders,liberal,Positive
Sanders,likely,Positive
Sanders,rich,Positive
Sanders,leave,Negative
Sanders,cultural,Positive
Sanders,nifty,Positive
Sanders,angry,Negative
Sanders,middle,Positive
Sanders,recent,Positive
Sanders,countless,Negative
Sanders,certain,Positive
Sanders,strong,Positive
Sanders,durable,Positive
Sanders,explicit,Neutral
Sanders,former,Negative
Sanders,pugnacious,Negative
Sanders,aggressive,Negative
Sanders,cantankerous,Negative
Sanders,uplifting,Positive
Sanders,powerful,Positive
Sanders,moneyed,Negative
Sanders,corporate,Neutral
Sanders,young,Positive
Sanders,political,Positive
Sanders,central,Positive
Sanders,whole,Positive
Sanders,basic,Negative
Sanders,least,Negative
Sanders,erudite,Positive
Sanders,good,Positive
Sanders,mere,Positive
Sanders,broader,Positive
Sanders,acute,Positive
Sanders,top,Positive
Sanders,earnest,Positive
Sanders,old,Positive
Sanders,sweet,Positive
Sanders,bipartisan,Neutral
Sanders,meaningful,Positive
Sanders,longstanding,Neutral
Sanders,top,Positive
Sanders,former,Negative
Sanders,big,Positive
Sanders,former,Negative
Sanders,ideological,Positive
Sanders,progressive,Neutral
Sanders,proven,Positive
Sanders,same,Positive
Sanders,same,Positive
Sanders,old,Positive
Sanders,political,Positive
Sanders,similar,Positive
Sanders,recent,Positive
Sanders,progressive,Neutral
Sanders,most,Positive
Sanders,vocal,Positive
Sanders,more,Positive
Sanders,recent,Positive
Sanders,moderate,Positive
Sanders,combative,Neutral
Sanders,primary,Positive
Sanders,pragmatic,Positive
Sanders,characteristic,Positive
Sanders,least,Negative
Sanders,whole,Positive
Sanders,big,Positive
Sanders,big,Positive
Sanders,big,Positive
Sanders,important,Positive
Sanders,big,Positive
Sanders,past,Positive
Sanders,consistent,Positive
Sanders,many,Positive
Sanders,cautious,Positive
Sanders,quick,Positive
Sanders,good,Positive
Sanders,many,Positive
Sanders,nice,Positive
Sanders,progressive,Neutral
Sanders,certain,Positive
Sanders,single,Neutral
Sanders,fellow,Positive
Sanders,performative,Negative
Sanders,happy,Positive
Sanders,wonderful,Positive
Sanders,obvious,Positive
Sanders,young,Positive
Sanders,political,Positive
Sanders,bold,Negative
Sanders,severe,Positive
Sanders,last,Negative
Sanders,best,Positive
Sanders,young,Positive
Sanders,political,Positive
Sanders,comfortable,Positive
Sanders,larger,Positive
Sanders,fellow,Positive
Sanders,democratic,Neutral
Sanders,skeptical,Positive
Sanders,general,Neutral
Sanders,confident,Positive
Sanders,political,Positive
Sanders,clear,Positive
Sanders,early,Positive
Sanders,more,Positive
Sanders,first,Positive
Sanders,full,Positive
Sanders,durable,Positive
Sanders,upper,Positive
Sanders,larger,Positive
Sanders,plain,Positive
Sanders,local,Positive
Sanders,political,Positive
Sanders,impoverished,Negative
Sanders,conservative,Positive
Sanders,progressive,Neutral
Sanders,abysmal,Positive
Sanders,huge,Positive
Sanders,former,Negative
Sanders,certain,Positive
Sanders,political,Positive
Sanders,big,Positive
Sanders,electoral,Neutral
Sanders,young,Positive
Sanders,new,Positive
Sanders,young,Positive
Sanders,local,Positive
Sanders,economic,Positive
Sanders,small,Positive
Sanders,tangled,Negative
Sanders,bipartisan,Neutral
Sanders,similar,Positive
Sanders,unexpected,Negative
Sanders,more,Positive
Sanders,uneducated,Negative
Sanders,huge,Positive
Sanders,new,Positive
Sanders,top,Positive
Sanders,fair,Positive
Sanders,square,Positive
Sanders,full,Positive
Sanders,small,Positive
Sanders,modest,Positive
Sanders,apparent,Neutral
Sanders,central,Positive
Sanders,incumbent,Neutral
Sanders,more,Positive
Sanders,political,Positive
Sanders,thrilled,Positive
Sanders,less,Negative
Sanders,great,Positive
Sanders,positive,Positive
Sanders,legislative,Neutral
Sanders,solid,Positive
Sanders,real,Positive
Sanders,conservative,Positive
Sanders,full,Positive
Sanders,bottom,Negative
Sanders,modern,Positive
Sanders,prominent,Positive
Sanders,prominent,Positive
Sanders,local,Positive
Sanders,wide,Positive
Sanders,bitter,Positive
Sanders,sturdy,Positive
Sanders,older,Positive
Sanders,liberal,Positive
Sanders,agreeable,Positive
Sanders,due,Positive
Sanders,durable,Positive
Sanders,political,Positive
Sanders,progressive,Neutral
Sanders,nuclear,Neutral
Sanders,private,Positive
Sanders,biggest,Positive
Sanders,local,Positive
Sanders,partial,Positive
Sanders,new,Positive
Sanders,local,Positive
Sanders,affordable,Positive
Sanders,socialist,Neutral
Sanders,conservative,Positive
Sanders,modern,Positive
Sanders,last,Negative
Sanders,relentless,Negative
Sanders,middle,Positive
Sanders,great,Positive
Sanders,brilliant,Positive
Sanders,first,Positive
Sanders,private,Positive
Sanders,few,Negative
Sanders,sleepy,Negative
Sanders,political,Positive
Sanders,progressive,Neutral
Sanders,strong,Positive
Sanders,useful,Positive
Sanders,strong,Positive
Sanders,former,Negative
Sanders,middle,Positive
Sanders,strong,Positive
Sanders,less,Negative
Sanders,safe,Positive
Sanders,enthusiastic,Positive
Sanders,usual,Neutral
Sanders,only,Positive
Sanders,strong,Positive
Sanders,flat,Positive
Sanders,overwhelming,Positive
Sanders,good,Positive
Sanders,delicate,Positive
Sanders,more,Positive
Sanders,public,Neutral
Sanders,black,Positive
Sanders,major,Positive
Sanders,black,Positive
Sanders,single,Neutral
Sanders,next,Positive
Sanders,curious,Positive
Sanders,same,Positive
Sanders,large,Positive
Sanders,bipartisan,Neutral
Sanders,leading,Positive
Sanders,powerful,Positive
Sanders,black,Positive
Sanders,supportive,Positive
Sanders,white,Positive
Sanders,black,Positive
Sanders,past,Positive
Sanders,few,Negative
Sanders,primary,Positive
Sanders,afraid,Negative
Sanders,largest,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,black,Positive
Sanders,more,Positive
Sanders,next,Positive
Sanders,black,Positive
Sanders,major,Positive
Sanders,white,Positive
Sanders,quiet,Positive
Sanders,few,Negative
Sanders,public,Neutral
Sanders,many,Positive
Sanders,unaccountable,Negative
Sanders,great,Positive
Sanders,historic,Positive
Sanders,public,Neutral
Sanders,public,Neutral
Sanders,further,Positive
Sanders,subject,Positive
Sanders,same,Positive
Sanders,public,Neutral
Sanders,likely,Positive
Sanders,federal,Neutral
Sanders,new,Positive
Sanders,chief,Positive
Sanders,fair,Positive
Sanders,largest,Positive
Sanders,large,Positive
Sanders,local,Positive
Sanders,vulnerable,Negative
Sanders,more,Positive
Sanders,black,Positive
Sanders,same,Positive
Sanders,white,Positive
Sanders,affluent,Positive
Sanders,private,Positive
Sanders,medical,Positive
Sanders,standardized,Positive
Sanders,recent,Positive
Sanders,vocal,Positive
Sanders,political,Positive
Sanders,sweeping,Positive
Sanders,many,Positive
Sanders,critical,Positive
Sanders,electoral,Neutral
Sanders,political,Positive
Sanders,afraid,Negative
Sanders,popular,Positive
Sanders,large,Positive
Sanders,expansive,Positive
Sanders,higher,Positive
Sanders,private,Positive
Sanders,liberal,Positive
Sanders,top,Positive
Sanders,lose,Negative
Sanders,crucial,Positive
Sanders,former,Negative
Sanders,critical,Positive
Sanders,big,Positive
Sanders,competitive,Positive
Sanders,last,Negative
Sanders,vulnerable,Negative
Sanders,free,Positive
Sanders,serious,Positive
Sanders,former,Negative
Sanders,different,Positive
Sanders,political,Positive
Sanders,bold,Negative
Sanders,new,Positive
Sanders,political,Positive
Sanders,current,Positive
Sanders,many,Positive
Sanders,high,Positive
Sanders,more,Positive
Sanders,medical,Positive
Sanders,explicit,Neutral
Sanders,political,Positive
Sanders,more,Positive
Sanders,more,Positive
Sanders,closer,Positive
Sanders,primary,Positive
Sanders,key,Positive
Sanders,skeptical,Positive
Sanders,similar,Positive
Sanders,higher,Positive
Sanders,centrist,Neutral
Sanders,primary,Positive
Sanders,central,Positive
Sanders,former,Negative
Sanders,whole,Positive
Sanders,conservative,Positive
Sanders,general,Neutral
Sanders,horrible,Negative
Sanders,last,Negative
Sanders,terrible,Positive
Sanders,heated,Positive
Sanders,significant,Positive
Sanders,primary,Positive
Sanders,universal,Positive
Sanders,competitive,Positive
Sanders,conservative,Positive
Sanders,deep,Positive
Sanders,moderate,Positive
Sanders,endangered,Negative
Sanders,apocalyptic,Negative
Sanders,left,Positive
Sanders,competitive,Positive
Sanders,last,Negative
Sanders,practical,Positive
Sanders,minimum,Negative
Sanders,free,Positive
Sanders,public,Neutral
Sanders,old,Positive
Sanders,key,Positive
Sanders,many,Positive
Sanders,rigged,Negative
Sanders,close,Positive
Sanders,sure,Positive
Sanders,large,Positive
Sanders,few,Negative
Sanders,empty,Positive
Sanders,tight,Positive
Sanders,real,Positive
Sanders,local,Positive
Sanders,former,Negative
Sanders,binary,Negative
Sanders,former,Negative
Sanders,primary,Positive
Sanders,confident,Positive
Sanders,little,Positive
Sanders,progressive,Neutral
Sanders,same,Positive
Sanders,independent,Positive
Sanders,young,Positive
Sanders,much,Positive
Sanders,own,Positive
Sanders,same,Positive
Sanders,public,Neutral
Sanders,former,Negative
Sanders,key,Positive
Sanders,formal,Neutral
Sanders,slow,Negative
Sanders,many,Positive
Sanders,different,Positive
Sanders,last,Negative
Sanders,many,Positive
Sanders,difficult,Positive
Sanders,local,Positive
Sanders,difficult,Positive
Sanders,large,Positive
Sanders,most,Positive
Sanders,local,Positive
Sanders,more,Positive
Sanders,undecided,Neutral
Sanders,last,Negative
Sanders,huge,Positive
Sanders,concerned,Positive
Sanders,progressive,Neutral
Sanders,loyal,Positive
Sanders,worried,Negative
Sanders,neighboring,Positive
Sanders,more,Positive
Sanders,fair,Positive
Sanders,few,Negative
Sanders,single,Neutral
Sanders,corporate,Neutral
Sanders,few,Negative
Sanders,federal,Neutral
Sanders,few,Negative
Sanders,late,Positive
